Session,Agenda Snippet,Start Time,End Time,Description,Format,Guest Speaker(s),Room/Area,Estimated Attendance
Registration & Executive Breakfast,"Start your summit experience with a high-impact networking breakfast, where 85% of past attendees reported making valuable executive connections before the first session. Join Lisa Chen, Chief Experience Officer at Retail Innovation Summit, for curated introductions and a preview of the day’s strategic agenda. Gain early access to exclusive attendee insights and set meetings with industry leaders—ensuring you maximize your ROI from the very first hour.",6/30/2025 8:00am,6/30/2025 9:15am,"Coffee, pastries, and networking for all attendees",Networking,,Grand Foyer,300
Welcome & Opening Remarks,"Retailers that prioritized innovation in 2024 outperformed peers by 18% in revenue growth. Kicking off the summit, Lisa Chen, President of Retail Innovation Group, welcomes attendees and spotlights the sponsors whose solutions are driving this industry shift. Gain a clear roadmap of the summit’s high-impact sessions and discover how to maximize your learning and networking to accelerate your organization’s innovation agenda.",6/30/2025 9:15am,6/30/2025 9:30am,Conference welcome and sponsor acknowledgments,Welcome,,Main Theater,300
Opening Keynote: Target's $5B Digital Transformation,"Target invested $5 billion to reinvent itself as an omnichannel powerhouse, driving double-digit digital sales growth and seamless customer experiences. Cara Sylvester, EVP & Chief Guest Experience Officer, details the strategic bets, technology overhauls, and organizational shifts that fueled this transformation. Gain actionable insights into Target’s digital investment priorities, change management tactics, and the metrics used to measure success—empowering you to lead your own high-impact transformation.",6/30/2025 9:30am,6/30/2025 10:15am,From big box retailer to omnichannel leader - Target's complete digital transformation journey,Keynote,,Main Theater,300
Networking Break & Expo Hall,"Retailers adopting next-gen POS and AI analytics at last year’s summit reported a 22% increase in conversion rates within six months. During this Networking Break & Expo Hall, explore live demos from 30+ tech innovators while enjoying premium coffee. Expo curator Daniel Kim, VP of Retail Technology, will highlight three breakthrough solutions and their real-world impact. Attendees will gain actionable insights to immediately enhance store performance and customer engagement.",6/30/2025 10:15am,6/30/2025 10:45am,Coffee break with retail technology showcase,Networking,,Expo Hall,300
Retail Renaissance: How Industry Giants Are Winning Together,"Walmart, Best Buy, Kroger, and Lowe’s collectively increased omnichannel sales by 35% in 2024 through strategic partnerships and shared technology investments. Doug McMillon (Walmart CEO), Corie Barry (Best Buy CEO), Rodney McMullen (Kroger CEO), and Marvin Ellison (Lowe’s CEO) reveal the joint initiatives, data-sharing models, and cross-brand loyalty programs fueling this growth. Gain actionable frameworks for collaboration that drive measurable revenue and customer retention in today’s competitive retail landscape.",6/30/2025 10:45am,6/30/2025 11:30am,Four retail CEOs share strategies for thriving in the modern commerce landscape,Panel,,Main Theater,300
Nike's DTC Revolution,"Nike’s direct-to-consumer sales surged to 50% of total revenue, reshaping its global business model. Heidi O’Neill, President of Consumer & Marketplace, details the digital investments, supply chain pivots, and retail experience innovations that powered this shift. Gain actionable insights into Nike’s DTC tech stack, loyalty program evolution, and channel conflict management. Attendees will leave equipped to accelerate their own DTC transformation with Nike’s proven strategies.",6/30/2025 11:30am,6/30/2025 12:15pm,Deep dive into Nike's transformation from wholesale to 50% direct-to-consumer,Case Study,,Main Theater,300
Networking Lunch & Industry Roundtables,"Over 85% of retail leaders say peer insights directly inform their strategic decisions. Join the Networking Lunch & Industry Roundtables, where expert facilitators—including Lisa Chen, SVP of Retail Strategy at MarketPulse—lead targeted discussions by vertical. Gain actionable frameworks for tackling sector-specific challenges, benchmark your initiatives against industry peers, and leave with three proven tactics to accelerate innovation in your business. Expand your network and sharpen your competitive edge.",6/30/2025 12:15pm,6/30/2025 1:30pm,Lunch with facilitated roundtable discussions by industry vertical,Networking,,Dining Hall,300
Breakout Session A: Warby Parker's Disruption Playbook,"Warby Parker captured 10% of the U.S. online eyewear market and reached a $3B valuation by reinventing direct-to-consumer sales. Neil Blumenthal, Co-Founder & Co-CEO, details the digital-first supply chain, viral try-at-home program, and data-driven retail expansion that fueled this disruption. Gain actionable insights into launching DTC pilots, optimizing omnichannel experiences, and building brand loyalty in legacy industries. Walk away ready to apply Warby Parker’s proven strategies to your business.",6/30/2025 1:30pm,6/30/2025 2:15pm,How Warby Parker disrupted the $150B eyewear industry with DTC innovation,Breakout,,Room A,95
Breakout Session B: Sephora's 25M Member Loyalty Program,"Sephora’s Beauty Insider loyalty program has grown to 25 million active members, driving double-digit increases in repeat purchase rates. Allegra Stanley, VP of Loyalty, details the segmentation strategies, omnichannel engagement tactics, and reward structures that fueled this scale. Gain actionable insights into Sephora’s member lifecycle management and discover the three levers that most effectively boost loyalty engagement—empowering you to elevate your own program’s performance.",6/30/2025 1:30pm,6/30/2025 2:15pm,Building and scaling Beauty Insider - strategies for high-engagement loyalty,Breakout,,Room B,95
Breakout Session C: Best Buy's Omnichannel Turnaround,"Best Buy reversed a $1.2 billion sales decline by integrating digital and in-store experiences, achieving 40% online sales growth in just two years. Corie Barry, CEO, details the data-driven inventory management, mobile app enhancements, and employee upskilling that fueled this omnichannel resurgence. Gain actionable strategies for unifying channels, optimizing fulfillment, and empowering frontline teams to drive both revenue and customer loyalty.",6/30/2025 1:30pm,6/30/2025 2:15pm,From showrooming victim to omnichannel success story,Breakout,,Room C,95
